Homeologous_ID;Gene;is_Marker_of_Cluster;Specificity;Stability;Genome Asymmetry
TraesCS1A03G0090900;TraesCS1A03G0090900;NA;;;
TraesCS1A03G0098300;TraesCS1A03G0098300;3Meristems_2Cortex_0Unknown;unspecific;stable;
TraesCS1A03G0098300;TraesCS1B03G0068200;3Meristems_2Cortex_0Unknown;;;
TraesCS1A03G0098300;TraesCS1D03G0052800;NA;;;
TraesCS1A03G0106600;TraesCS1D03G0093400;11Endodermis/Phloem;unspecific;unstable;
TraesCS1A03G0106600;TraesCS1B03G0134900;13Phloem;;;
TraesCS1A03G0106600;TraesCS1A03G0106600;NA;;;
TraesCS1A03G0117300;TraesCS1B03G0157100;10Xylem;specific;stable;
TraesCS1A03G0117300;TraesCS1D03G0106000;10Xylem;;;
TraesCS1A03G0117300;TraesCS1A03G0117300;NA;;;
TraesCS1A03G0121700;TraesCS1B03G0165400;2Cortex;specific;stable;
TraesCS1A03G0121700;TraesCS1A03G0121700;NA;;;
TraesCS1A03G0121700;TraesCS1D03G0115300;NA;;;
TraesCS1A03G0127600;TraesCS1A03G0127600;11Endodermis/Phloem;specific;stable;D_dominant_11
TraesCS1A03G0127600;TraesCS1D03G0119000;11Endodermis/Phloem;;;
TraesCS1A03G0127600;TraesCS1B03G0173800;NA;;;
TraesCS1A03G0137600;TraesCS1B03G0186900;8RootHair;specific;stable;A_suppressed_8
TraesCS1A03G0137600;TraesCS1D03G0124500;8RootHair;;;
TraesCS1A03G0137600;TraesCS1A03G0137600;NA;;;
TraesCS1A03G0155800;TraesCS1D03G0143400;10Xylem;specific;stable;
TraesCS1A03G0155800;TraesCS1A03G0155800;NA;;;
TraesCS1A03G0155800;TraesCS1B03G0205900;NA;;;
TraesCS1A03G0156300;TraesCS1B03G0206600;11Endodermis/Phloem;specific;stable;
TraesCS1A03G0156300;TraesCS1D03G0144300;11Endodermis/Phloem;;;
TraesCS1A03G0156300;TraesCS1A03G0156300;NA;;;
TraesCS1A03G0162300;TraesCS1D03G0150300;10Xylem;specific;stable;
TraesCS1A03G0162300;TraesCS1A03G0162300;NA;;;
TraesCS1A03G0162300;TraesCS1B03G0214000;NA;;;
TraesCS1A03G0167600;TraesCS1D03G0156400;1Epidermis;specific;stable;
TraesCS1A03G0167600;TraesCS1B03G0220100;8RootHair_1Epidermis;;;
TraesCS1A03G0167600;TraesCS1A03G0167600;NA;;;
TraesCS1A03G0175400;TraesCS1A03G0175400;9Endodermis;specific;stable;
TraesCS1A03G0175400;TraesCS1B03G0239900;NA;;;
TraesCS1A03G0175400;TraesCS1D03G0170600;NA;;;
TraesCS1A03G0176200;TraesCS1A03G0176200;5Unknown;unspecific;unstable;
TraesCS1A03G0176200;TraesCS1B03G0241000;5Unknown_14RootCap;;;
TraesCS1A03G0176200;TraesCS1D03G0171100;NA;;;
TraesCS1A03G0177500;TraesCS1D03G0172800;14RootCap;specific;stable;B_suppressed_14
TraesCS1A03G0177500;TraesCS1A03G0177500;NA;;;
TraesCS1A03G0177500;TraesCS1B03G0244200;NA;;;
TraesCS1A03G0178500;TraesCS1A03G0178500;13Phloem;specific;stable;D_dominant_13
TraesCS1A03G0178500;TraesCS1B03G0245300;13Phloem;;;
TraesCS1A03G0178500;TraesCS1D03G0173900;13Phloem;;;
TraesCS1A03G0190000;TraesCS1B03G0257100;6Pericycle_4ProvascularCells_11Endodermis/Phloem;unspecific;unstable;
TraesCS1A03G0190000;TraesCS1D03G0184100;6Pericycle_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS1A03G0190000;TraesCS1A03G0190000;6Pericycle_4ProvascularCells_14RootCap_11Endodermis/Phloem;;;
TraesCS1A03G0193000;TraesCS1A03G0193000;5Unknown_14RootCap;unspecific;stable;
TraesCS1A03G0193000;TraesCS1B03G0260500;5Unknown_14RootCap;;;
TraesCS1A03G0193000;TraesCS1D03G0185900;5Unknown_14RootCap;;;
TraesCS1A03G0194500;TraesCS1B03G0263100;14RootCap_10Xylem;unspecific;stable;
TraesCS1A03G0194500;TraesCS1D03G0186800;14RootCap_10Xylem;;;
TraesCS1A03G0194500;TraesCS1A03G0194500;NA;;;
TraesCS1A03G0200700;TraesCS1B03G0269500;6Pericycle_5Unknown;unspecific;stable;
TraesCS1A03G0200700;TraesCS1A03G0200700;NA;;;
TraesCS1A03G0200700;TraesCS1D03G0192200;NA;;;
TraesCS1A03G0202600;TraesCS1D03G0195100;14RootCap;specific;stable;
TraesCS1A03G0202600;TraesCS1A03G0202600;NA;;;
TraesCS1A03G0202600;TraesCS1B03G0270900;NA;;;
TraesCS1A03G0214500;TraesCS1D03G0209600;5Unknown_14RootCap;unspecific;stable;
TraesCS1A03G0214500;TraesCS1A03G0214500;NA;;;
TraesCS1A03G0214500;TraesCS1B03G0289600;NA;;;
TraesCS1A03G0223500;TraesCS1A03G0223500;10Xylem;unspecific;unstable;
TraesCS1A03G0223500;TraesCS1B03G0325900;14RootCap_10Xylem;;;
TraesCS1A03G0223500;TraesCS1D03G0236500;14RootCap_10Xylem;;;
TraesCS1A03G0224700;TraesCS1A03G0224700;7Epidermis_3Meristems_12DividingCells;unspecific;stable;
TraesCS1A03G0224700;TraesCS1B03G0326800;7Epidermis_3Meristems_12DividingCells;;;
TraesCS1A03G0224700;TraesCS1D03G0237700;7Epidermis_3Meristems_12DividingCells;;;
TraesCS1A03G0243500;TraesCS1D03G0216800;8RootHair_11Endodermis/Phloem_1Epidermis;unspecific;stable;
TraesCS1A03G0243500;TraesCS1A03G0243500;NA;;;
TraesCS1A03G0243500;TraesCS1B03G0302200;NA;;;
TraesCS1A03G0249100;TraesCS1B03G0306600;5Unknown_14RootCap;unspecific;stable;
TraesCS1A03G0249100;TraesCS1A03G0249100;NA;;;
TraesCS1A03G0249100;TraesCS1D03G0221200;NA;;;
TraesCS1A03G0249300;TraesCS1A03G0249300;14RootCap;unspecific;unstable;
TraesCS1A03G0249300;TraesCS1B03G0306800;14RootCap;;;
TraesCS1A03G0249300;TraesCS1D03G0221500;7Epidermis_1Epidermis;;;
TraesCS1A03G0256300;TraesCS1B03G0347800;10Xylem;unspecific;unstable;
TraesCS1A03G0256300;TraesCS1A03G0256300;11Endodermis/Phloem_10Xylem;;;
TraesCS1A03G0256300;TraesCS1D03G0257200;NA;;;
TraesCS1A03G0256500;TraesCS1D03G0257100;1Epidermis;specific;stable;
TraesCS1A03G0256500;TraesCS1A03G0256500;NA;;;
TraesCS1A03G0256500;TraesCS1B03G0347700;NA;;;
TraesCS1A03G0257800;TraesCS1A03G0257800;11Endodermis/Phloem_10Xylem;unspecific;stable;
TraesCS1A03G0257800;TraesCS1B03G0337300;NA;;;
TraesCS1A03G0257800;TraesCS1D03G0256000;NA;;;
TraesCS1A03G0258300;TraesCS1B03G0337900;2Cortex_1Epidermis;unspecific;stable;
TraesCS1A03G0258300;TraesCS1A03G0258300;NA;;;
TraesCS1A03G0258300;TraesCS1D03G0255400;NA;;;
TraesCS1A03G0273000;TraesCS1A03G0273000;14RootCap;specific;stable;
TraesCS1A03G0273000;TraesCS1B03G0360300;NA;;;
TraesCS1A03G0273000;TraesCS1D03G0270500;NA;;;
TraesCS1A03G0276000;TraesCS1B03G0361800;6Pericycle_4ProvascularCells_12DividingCells_11Endodermis/Phloem;unspecific;unstable;
TraesCS1A03G0276000;TraesCS1D03G0271100;6Pericycle_4ProvascularCells_14RootCap_11Endodermis/Phloem;;;
TraesCS1A03G0276000;TraesCS1A03G0276000;9Endodermis_8RootHair_6Pericycle_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS1A03G0282000;TraesCS1A03G0282000;12DividingCells;specific;stable;
TraesCS1A03G0282000;TraesCS1B03G0367500;NA;;;
TraesCS1A03G0282000;TraesCS1D03G0276900;NA;;;
TraesCS1A03G0287600;TraesCS1A03G0287600;14RootCap;specific;stable;D_suppressed_14
TraesCS1A03G0287600;TraesCS1B03G0371000;NA;;;
TraesCS1A03G0287600;TraesCS1D03G0281600;NA;;;
TraesCS1A03G0302700;TraesCS1D03G0293000;14RootCap;specific;stable;A_suppressed_14
TraesCS1A03G0302700;TraesCS1A03G0302700;NA;;;
TraesCS1A03G0302700;TraesCS1B03G0387000;NA;;;
TraesCS1A03G0304000;TraesCS1B03G0388600;14RootCap;specific;stable;
TraesCS1A03G0304000;TraesCS1A03G0304000;NA;;;
TraesCS1A03G0304000;TraesCS1D03G0294000;NA;;;
TraesCS1A03G0313300;TraesCS1A03G0313300;8RootHair_10Xylem;unspecific;unstable;
TraesCS1A03G0313300;TraesCS1D03G0304200;8RootHair_10Xylem;;;
TraesCS1A03G0313300;TraesCS1B03G0397800;8RootHair_14RootCap_13Phloem_10Xylem;;;
TraesCS1A03G0323800;TraesCS1A03G0323800;7Epidermis;specific;stable;
TraesCS1A03G0323800;TraesCS1B03G0400500;7Epidermis;;;
TraesCS1A03G0323800;TraesCS1D03G0299300;NA;;;
TraesCS1A03G0336200;TraesCS1A03G0336200;3Meristems;unspecific;unstable;
TraesCS1A03G0336200;TraesCS1B03G0444500;3Meristems_12DividingCells;;;
TraesCS1A03G0336200;TraesCS7D03G0551400;7Epidermis_3Meristems_12DividingCells;;;
TraesCS1A03G0343000;TraesCS1A03G0343000;6Pericycle;unspecific;unstable;
TraesCS1A03G0343000;TraesCS1D03G0300000;6Pericycle_10Xylem;;;
TraesCS1A03G0343000;TraesCS1B03G0410800;NA;;;
TraesCS1A03G0361700;TraesCS1A03G0361700;13Phloem;specific;stable;D_dominant_13
TraesCS1A03G0361700;TraesCS1B03G0450900;13Phloem;;;
TraesCS1A03G0361700;TraesCS1D03G0349000;13Phloem;;;
TraesCS1A03G0386900;TraesCS1A03G0386900;12DividingCells;specific;stable;
TraesCS1A03G0386900;TraesCS1B03G0468600;12DividingCells;;;
TraesCS1A03G0386900;TraesCS1D03G0361000;12DividingCells;;;
TraesCS1A03G0396400;TraesCS1A03G0396400;7Epidermis_3Meristems;unspecific;stable;
TraesCS1A03G0396400;TraesCS1B03G0483000;7Epidermis_3Meristems;;;
TraesCS1A03G0396400;TraesCS1D03G0366600;7Epidermis_3Meristems;;;
TraesCS1A03G0402100;TraesCS1B03G0493200;11Endodermis/Phloem;specific;stable;
TraesCS1A03G0402100;TraesCS1D03G0370900;11Endodermis/Phloem;;;
TraesCS1A03G0402100;TraesCS1A03G0402100;NA;;;
TraesCS1A03G0402200;TraesCS1B03G0493300;10Xylem;unspecific;unstable;
TraesCS1A03G0402200;TraesCS1A03G0402200;14RootCap_10Xylem;;;
TraesCS1A03G0402200;TraesCS1D03G0371000;14RootCap_10Xylem;;;
TraesCS1A03G0427500;TraesCS1A03G0427500;10Xylem;specific;stable;
TraesCS1A03G0427500;TraesCS1B03G0516300;10Xylem;;;
TraesCS1A03G0427500;TraesCS1D03G0402900;10Xylem;;;
TraesCS1A03G0429000;TraesCS1A03G0429000;7Epidermis;unspecific;unstable;
TraesCS1A03G0429000;TraesCS1B03G0518100;7Epidermis_3Meristems;;;
TraesCS1A03G0429000;TraesCS1D03G0405100;7Epidermis_3Meristems_12DividingCells;;;
TraesCS1A03G0429500;TraesCS1A03G0429500;11Endodermis/Phloem;specific;stable;
TraesCS1A03G0429500;TraesCS1B03G0521200;NA;;;
TraesCS1A03G0429500;TraesCS1D03G0405500;NA;;;
TraesCS1A03G0450500;TraesCS1B03G0541500;14RootCap;specific;stable;
TraesCS1A03G0450500;TraesCS1A03G0450500;NA;;;
TraesCS1A03G0450500;TraesCS1D03G0450000;NA;;;
TraesCS1A03G0454100;TraesCS1B03G0545700;6Pericycle;specific;stable;D_suppressed_6
TraesCS1A03G0454100;TraesCS1A03G0454100;NA;;;
TraesCS1A03G0454100;TraesCS1D03G0446200;NA;;;
TraesCS1A03G0459500;TraesCS1B03G0550700;4ProvascularCells;specific;stable;
TraesCS1A03G0459500;TraesCS1A03G0459500;NA;;;
TraesCS1A03G0459500;TraesCS1D03G0431300;NA;;;
TraesCS1A03G0459700;TraesCS1A03G0459700;12DividingCells;specific;stable;B_suppressed_12
TraesCS1A03G0459700;TraesCS1B03G0550200;12DividingCells;;;
TraesCS1A03G0459700;TraesCS1D03G0432000;12DividingCells;;;
TraesCS1A03G0471700;TraesCS1B03G0560300;9Endodermis;specific;stable;
TraesCS1A03G0471700;TraesCS1A03G0471700;NA;;;
TraesCS1A03G0471700;TraesCS1D03G0422800;NA;;;
TraesCS1A03G0479500;TraesCS1A03G0479500;6Pericycle;specific;stable;
TraesCS1A03G0479500;TraesCS1B03G0591800;6Pericycle;;;
TraesCS1A03G0479500;TraesCS1D03G0452900;NA;;;
TraesCS1A03G0483700;TraesCS1B03G0588300;9Endodermis_6Pericycle_4ProvascularCells_11Endodermis/Phloem_10Xylem;unspecific;unstable;
TraesCS1A03G0483700;TraesCS1D03G0456200;9Endodermis_6Pericycle_4ProvascularCells_11Endodermis/Phloem_10Xylem;;;
TraesCS1A03G0483700;TraesCS1A03G0483700;9Endodermis_6Pericycle_4ProvascularCells_14RootCap_11Endodermis/Phloem_10Xylem;;;
TraesCS1A03G0484600;TraesCS1B03G0587700;5Unknown;unspecific;unstable;
TraesCS1A03G0484600;TraesCS1D03G0456700;5Unknown_14RootCap;;;
TraesCS1A03G0484600;TraesCS1A03G0484600;NA;;;
TraesCS1A03G0487200;TraesCS1B03G0585500;9Endodermis_11Endodermis/Phloem;unspecific;stable;
TraesCS1A03G0487200;TraesCS1A03G0487200;NA;;;
TraesCS1A03G0487200;TraesCS1D03G0473400;NA;;;
TraesCS1A03G0488100;TraesCS1B03G0584400;9Endodermis;specific;stable;B_dominant_9
TraesCS1A03G0488100;TraesCS1A03G0488100;NA;;;
TraesCS1A03G0488100;TraesCS1D03G0474300;NA;;;
TraesCS1A03G0490400;TraesCS1D03G0476000;5Unknown;specific;stable;
TraesCS1A03G0490400;TraesCS1A03G0490400;NA;;;
TraesCS1A03G0490400;TraesCS1B03G0582700;NA;;;
TraesCS1A03G0490900;TraesCS1B03G0582400;9Endodermis;specific;stable;
TraesCS1A03G0490900;TraesCS1A03G0490900;NA;;;
TraesCS1A03G0490900;TraesCS1D03G0476700;NA;;;
TraesCS1A03G0501300;TraesCS1D03G0487400;6Pericycle;unspecific;unstable;
TraesCS1A03G0501300;TraesCS1B03G0573100;8RootHair;;;
TraesCS1A03G0501300;TraesCS1A03G0501300;NA;;;
TraesCS1A03G0501700;TraesCS1D03G0486800;11Endodermis/Phloem;specific;stable;D_dominant_11
TraesCS1A03G0501700;TraesCS1A03G0501700;NA;;;
TraesCS1A03G0501700;TraesCS1B03G0573800;NA;;;
TraesCS1A03G0501800;TraesCS1B03G0574000;5Unknown;specific;stable;
TraesCS1A03G0501800;TraesCS1D03G0486500;5Unknown;;;
TraesCS1A03G0501800;TraesCS1A03G0501800;NA;;;
TraesCS1A03G0501900;TraesCS1D03G0486300;5Unknown_14RootCap;unspecific;stable;
TraesCS1A03G0501900;TraesCS1A03G0501900;NA;;;
TraesCS1A03G0501900;TraesCS1B03G0574100;NA;;;
TraesCS1A03G0502000;TraesCS1D03G0486100;14RootCap;unspecific;unstable;
TraesCS1A03G0502000;TraesCS1A03G0502000;5Unknown;;;
TraesCS1A03G0502000;TraesCS1B03G0574200;5Unknown;;;
TraesCS1A03G0502600;TraesCS1B03G0574600;5Unknown_14RootCap;unspecific;unstable;
TraesCS1A03G0502600;TraesCS1D03G0485700;5Unknown_14RootCap_1Epidermis;;;
TraesCS1A03G0502600;TraesCS1A03G0502600;8RootHair_5Unknown_14RootCap_1Epidermis;;;
TraesCS1A03G0503000;TraesCS1B03G0574900;5Unknown;specific;stable;
TraesCS1A03G0503000;TraesCS1A03G0503000;NA;;;
TraesCS1A03G0503000;TraesCS1D03G0485400;NA;;;
TraesCS1A03G0510000;TraesCS1A03G0510000;13Phloem;specific;stable;
TraesCS1A03G0510000;TraesCS1B03G0566100;13Phloem;;;
TraesCS1A03G0510000;TraesCS1D03G0496000;13Phloem;;;
TraesCS1A03G0522000;TraesCS1D03G0506600;8RootHair;specific;stable;
TraesCS1A03G0522000;TraesCS1A03G0522000;NA;;;
TraesCS1A03G0522000;TraesCS1B03G0612200;NA;;;
TraesCS1A03G0526900;TraesCS1A03G0526900;12DividingCells;specific;stable;
TraesCS1A03G0526900;TraesCS1B03G0616100;12DividingCells;;;
TraesCS1A03G0526900;TraesCS1D03G0508400;12DividingCells;;;
TraesCS1A03G0527100;TraesCS1B03G0616400;8RootHair;specific;stable;D_dominant_8
TraesCS1A03G0527100;TraesCS1D03G0508600;8RootHair;;;
TraesCS1A03G0527100;TraesCS1A03G0527100;NA;;;
TraesCS1A03G0531100;TraesCS1A03G0531100;14RootCap;specific;stable;
TraesCS1A03G0531100;TraesCS1D03G0512200;14RootCap;;;
TraesCS1A03G0531100;TraesCS1B03G0621300;NA;;;
TraesCS1A03G0531400;TraesCS1A03G0531400;13Phloem;specific;stable;
TraesCS1A03G0531400;TraesCS1B03G0622100;13Phloem;;;
TraesCS1A03G0531400;TraesCS1D03G0512600;13Phloem;;;
TraesCS1A03G0532100;TraesCS1A03G0532100;4ProvascularCells;specific;stable;
TraesCS1A03G0532100;TraesCS1B03G0622300;4ProvascularCells;;;
TraesCS1A03G0532100;TraesCS1D03G0513400;4ProvascularCells;;;
TraesCS1A03G0535100;TraesCS1B03G0625200;6Pericycle_4ProvascularCells_11Endodermis/Phloem;unspecific;unstable;
TraesCS1A03G0535100;TraesCS1D03G0516200;6Pericycle_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS1A03G0535100;TraesCS1A03G0535100;6Pericycle_4ProvascularCells_11Endodermis/Phloem_10Xylem;;;
TraesCS1A03G0536800;TraesCS1A03G0536800;11Endodermis/Phloem;specific;stable;
TraesCS1A03G0536800;TraesCS1D03G0517000;11Endodermis/Phloem;;;
TraesCS1A03G0536800;TraesCS1B03G0626800;NA;;;
TraesCS1A03G0542800;TraesCS1A03G0542800;13Phloem;specific;stable;
TraesCS1A03G0542800;TraesCS1B03G0632800;13Phloem;;;
TraesCS1A03G0542800;TraesCS1D03G0523600;13Phloem;;;
TraesCS1A03G0545200;TraesCS1A03G0545200;12DividingCells;specific;stable;D_suppressed_12
TraesCS1A03G0545200;TraesCS1B03G0634700;12DividingCells;;;
TraesCS1A03G0545200;TraesCS1D03G0525100;NA;;;
TraesCS1A03G0547600;TraesCS1A03G0547600;8RootHair;specific;stable;B_suppressed_8
TraesCS1A03G0547600;TraesCS1B03G0637100;8RootHair;;;
TraesCS1A03G0547600;TraesCS1D03G0527600;8RootHair;;;
TraesCS1A03G0548800;TraesCS1A03G0548800;13Phloem;specific;stable;D_dominant_13
TraesCS1A03G0548800;TraesCS1D03G0528800;13Phloem;;;
TraesCS1A03G0548800;TraesCS1B03G0638500;NA;;;
TraesCS1A03G0552200;TraesCS1B03G0644100;1Epidermis;specific;stable;
TraesCS1A03G0552200;TraesCS1D03G0532400;1Epidermis;;;
TraesCS1A03G0552200;TraesCS1A03G0552200;NA;;;
TraesCS1A03G0554700;TraesCS1A03G0554700;2Cortex;specific;stable;B_dominant_2
TraesCS1A03G0554700;TraesCS1B03G0646400;2Cortex;;;
TraesCS1A03G0554700;TraesCS1D03G0534600;2Cortex;;;
TraesCS1A03G0555300;TraesCS1D03G0535100;8RootHair_14RootCap;unspecific;stable;
TraesCS1A03G0555300;TraesCS1A03G0555300;NA;;;
TraesCS1A03G0555300;TraesCS1B03G0647100;NA;;;
TraesCS1A03G0558000;TraesCS1A03G0558000;9Endodermis_2Cortex;unspecific;unstable;
TraesCS1A03G0558000;TraesCS1D03G0538100;9Endodermis_2Cortex;;;
TraesCS1A03G0558000;TraesCS1B03G0651300;9Endodermis_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS1A03G0558900;TraesCS1A03G0558900;8RootHair_14RootCap_1Epidermis;unspecific;stable;
TraesCS1A03G0558900;TraesCS1B03G0651500;8RootHair_14RootCap_1Epidermis;;;
TraesCS1A03G0558900;TraesCS1D03G0538300;8RootHair_14RootCap_1Epidermis;;;
TraesCS1A03G0559000;TraesCS1D03G0538400;14RootCap;specific;stable;
TraesCS1A03G0559000;TraesCS1A03G0559000;NA;;;
TraesCS1A03G0559000;TraesCS1B03G0651600;NA;;;
TraesCS1A03G0559100;TraesCS1B03G0651800;14RootCap;specific;stable;
TraesCS1A03G0559100;TraesCS1A03G0559100;NA;;;
TraesCS1A03G0559100;TraesCS1D03G0538500;NA;;;
TraesCS1A03G0559500;TraesCS1B03G0652500;11Endodermis/Phloem_10Xylem;unspecific;stable;
TraesCS1A03G0559500;TraesCS1A03G0559500;NA;;;
TraesCS1A03G0559500;TraesCS1D03G0538700;NA;;;
TraesCS1A03G0560400;TraesCS1A03G0560400;13Phloem;specific;stable;
TraesCS1A03G0560400;TraesCS1B03G0653700;13Phloem;;;
TraesCS1A03G0560400;TraesCS1D03G0539400;13Phloem;;;
TraesCS1A03G0561600;TraesCS1A03G0561600;6Pericycle;specific;stable;
TraesCS1A03G0561600;TraesCS1D03G0540300;6Pericycle;;;
TraesCS1A03G0561600;TraesCS1B03G0654800;NA;;;
TraesCS1A03G0568300;TraesCS1D03G0544300;2Cortex;specific;stable;
TraesCS1A03G0568300;TraesCS1A03G0568300;NA;;;
TraesCS1A03G0568300;TraesCS1B03G0659600;NA;;;
TraesCS1A03G0572200;TraesCS1D03G0545700;4ProvascularCells;unspecific;unstable;
TraesCS1A03G0572200;TraesCS1A03G0572200;4ProvascularCells_11Endodermis/Phloem;;;
TraesCS1A03G0572200;TraesCS1B03G0661800;NA;;;
TraesCS1A03G0572400;TraesCS1B03G0662300;11Endodermis/Phloem;specific;stable;B_suppressed_11
TraesCS1A03G0572400;TraesCS1A03G0572400;NA;;;
TraesCS1A03G0572400;TraesCS1D03G0546000;NA;;;
TraesCS1A03G0575800;TraesCS1A03G0575800;6Pericycle;specific;stable;
TraesCS1A03G0575800;TraesCS1B03G0667900;6Pericycle;;;
TraesCS1A03G0575800;TraesCS1D03G0548800;NA;;;
TraesCS1A03G0585700;TraesCS1B03G0678100;11Endodermis/Phloem;specific;stable;
TraesCS1A03G0585700;TraesCS1A03G0585700;NA;;;
TraesCS1A03G0585700;TraesCS1D03G0556800;NA;;;
TraesCS1A03G0590400;TraesCS1A03G0590400;10Xylem;specific;stable;
TraesCS1A03G0590400;TraesCS1B03G0686100;10Xylem;;;
TraesCS1A03G0590400;TraesCS1D03G0561600;10Xylem;;;
TraesCS1A03G0598600;TraesCS1B03G0692600;10Xylem;specific;stable;
TraesCS1A03G0598600;TraesCS1D03G0568600;10Xylem;;;
TraesCS1A03G0598600;TraesCS1A03G0598600;NA;;;
TraesCS1A03G0602900;TraesCS1A03G0602900;14RootCap;specific;stable;
TraesCS1A03G0602900;TraesCS1B03G0695100;NA;;;
TraesCS1A03G0602900;TraesCS1D03G0571900;NA;;;
TraesCS1A03G0613600;TraesCS1A03G0613600;11Endodermis/Phloem;specific;stable;
TraesCS1A03G0613600;TraesCS1B03G0701100;NA;;;
TraesCS1A03G0613600;TraesCS1D03G0577900;NA;;;
TraesCS1A03G0619600;TraesCS1A03G0619600;6Pericycle;specific;stable;
TraesCS1A03G0619600;TraesCS1B03G0697900;6Pericycle;;;
TraesCS1A03G0619600;TraesCS1D03G0575100;6Pericycle;;;
TraesCS1A03G0623200;TraesCS1B03G0711800;11Endodermis/Phloem;unspecific;unstable;
TraesCS1A03G0623200;TraesCS1A03G0623200;8RootHair_11Endodermis/Phloem_10Xylem;;;
TraesCS1A03G0623200;TraesCS1D03G0584800;8RootHair_11Endodermis/Phloem_1Epidermis;;;
TraesCS1A03G0623300;TraesCS1A03G0623300;11Endodermis/Phloem;specific;stable;A_dominant_11
TraesCS1A03G0623300;TraesCS1B03G0711900;11Endodermis/Phloem;;;
TraesCS1A03G0623300;TraesCS1D03G0584900;11Endodermis/Phloem;;;
TraesCS1A03G0625800;TraesCS1A03G0625800;5Unknown;unspecific;unstable;
TraesCS1A03G0625800;TraesCS1D03G0586800;5Unknown;;;
TraesCS1A03G0625800;TraesCS1B03G0714800;5Unknown_14RootCap;;;
TraesCS1A03G0644100;TraesCS1A03G0644100;14RootCap;specific;stable;A_dominant_14
TraesCS1A03G0644100;TraesCS1D03G0601300;14RootCap;;;
TraesCS1A03G0644100;TraesCS1B03G0730100;NA;;;
TraesCS1A03G0646700;TraesCS1D03G0604700;14RootCap;specific;stable;
TraesCS1A03G0646700;TraesCS1A03G0646700;NA;;;
TraesCS1A03G0646700;TraesCS1B03G0733000;NA;;;
TraesCS1A03G0647000;TraesCS1A03G0647000;13Phloem;specific;stable;
TraesCS1A03G0647000;TraesCS1B03G0733300;13Phloem;;;
TraesCS1A03G0647000;TraesCS1D03G0605000;13Phloem;;;
TraesCS1A03G0648800;TraesCS1A03G0648800;6Pericycle;specific;stable;
TraesCS1A03G0648800;TraesCS1B03G0734800;6Pericycle;;;
TraesCS1A03G0648800;TraesCS1D03G0606600;NA;;;
TraesCS1A03G0652600;TraesCS1A03G0652600;13Phloem;specific;stable;
TraesCS1A03G0652600;TraesCS1B03G0740500;13Phloem;;;
TraesCS1A03G0652600;TraesCS1D03G0610500;13Phloem;;;
TraesCS1A03G0654900;TraesCS1B03G0738300;10Xylem;specific;stable;A_suppressed_10
TraesCS1A03G0654900;TraesCS1D03G0612500;10Xylem;;;
